file,variable,var_class
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,employmentbyindustry_sec_B.E,employment_industry
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,employmentbyindustry_sec_B.E,employment_industry
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,employmentbyindustry_sec_B.E,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_A,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_B.E,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_F,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_G.I,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_G.J,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_J,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_K,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_K.N,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_L,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_M_N,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_O.Q,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_O.U,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employmentbyindustry_sec_R.U,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,employmentbyindustry_sec_A,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,employmentbyindustry_sec_B.E,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,employmentbyindustry_sec_F,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,employmentbyindustry_sec_G.I,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,employmentbyindustry_sec_G.J,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,employmentbyindustry_sec_J,employment_industry
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,employmentbyindustry_sec_K,employment_industry
